code,sampling_date,sample_description,sample_description_old,planting_date,lat,long,toc,soc_stock,soc_stock_unit,depth,bd,LC1_Desc
37262116,2018-06-25,a246cdc4-0052-47e4-9486-cb1f2a0cc7e5,524d0117-e165-450b-ad6d-9bc33f02eac0,2015-06-25,41.89317291,2.844749984,17.6,20.320417180800003,tC/acre,0.2,1.4265,Temporary grassland
37262440,2018-05-31,5b3ba91b-9acf-4535-a7aa-85e772b18700,6f590037-dc36-49d5-b01a-9681e7d3665a,2015-05-31,44.80156738,2.478978761,39.7,40.5506703208,tC/acre,0.2,1.262,Grassland without tree/shrub cover
37262444,2018-07-03,bc0fd4e3-869f-4eb5-97ea-3be54cebeb42,76ac37bf-aeb6-4895-9f4c-d28383f44b86,2015-07-03,44.83741949,2.474150625,55.6,53.10127817600001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37262452,2018-07-10,6ff3a240-bb7d-414e-9b16-defb006045e1,169b5cb2-f623-4cf3-ad73-0b33782fcd09,2015-07-10,44.90911999,2.464469991,29.1,27.79221573600001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37262560,2018-10-12,2e659518-3505-4a8e-9e11-7cefcb6be4d4,8dfd2fc6-d6ec-42c7-9c92-c7af5c2742fd,2015-10-12,45.87660307,2.330526084,29.0,27.696709840000008,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37282370,2018-07-23,ed211ae3-b614-43e7-b814-4ea6a5e1e52e,13caf6cb-034c-4b3c-b055-982936172fdd,2015-07-23,44.17573855,2.587039522,46.1,44.028218056000014,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37282474,2018-07-18,6855968a-9117-4241-955f-172a20871e63,c4cadb3a-90fc-420a-bc51-2c8f2798f8ed,2015-07-18,45.108092,2.462950617,86.4,50.69906208000002,tC/acre,0.2,0.7250000000000001,Grassland without tree/shrub cover
37302458,2018-07-11,1754d1db-e740-4ca8-99dc-47246d627ccf,53ed00a8-28b5-47fa-bcf2-bec46c22b331,2015-07-11,44.96651723,2.507603449,89.2,48.29911222560001,tC/acre,0.2,0.669,Grassland without tree/shrub cover
37302488,2018-06-13,37d3549a-7b21-4c03-8307-d934f29d6a30,3e8e6698-b216-406c-b5ac-5edb749878af,2015-06-13,45.23535698,2.471157587,46.1,44.028218056000014,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37302542,2018-10-11,b6180fd2-fb8e-4dda-9bfc-8eb7645a534d,f2d3f3b0-61c2-4ad9-a3fc-17ecb187dc9e,2015-10-11,45.71909875,2.404376638,79.7,76.11819911200001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37322374,2018-07-24,7f0cca10-23c7-462b-993c-55d143de2f83,dd502da1-c4a4-40d1-a8b5-e69b7e47455e,2015-07-24,44.21517167,2.632124987,20.7,19.769720472000003,tC/acre,0.2,1.1800000000000002,Temporary grassland
